Breed Name,Picture,URL,Adapts Well To Apartment Living,Good For Novice Owner,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid Friendly,Dog Friendly,Stranger Friendly,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Weight Gain Potential,Size,Easy To Train,Intelligence,Mouthiness Potential,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,High Energy Level,Intensity,Playfulness,Adaptability,Friendliness,Health And Grooming,Trainability,Exercise Needs
Basenji,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-996168400-e1691670212589.jpg?w=1024,https://dogtime.com/dog-breeds/basenji,5,4,3,4,1,4,5,5,4,5,1,5,5,2,2,2,1,4,5,5,1,5,5,1,2,3.5000,4.7500,2.8333,3.5000,2.6667
Bassador,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bassador-mixed-breed-dog-pictures-cover.jpg,https://dogtime.com/dog-breeds/bassador,2,2,3,3,4,4,3,3,3,3,5,4,3,3,3,4,2,3,2,4,3,3,3,2,3,3.0000,3.0000,3.6667,2.8333,2.6667
Basset Fauve de Bretagne,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-136994252-e1709255514492.jpg,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,4,4,3,3,3,1,5,4,4,3,2,1,4,5,1,2,3,5,3,3,2,1,4,2,3,3.0000,4.0000,2.5000,2.8333,3.0000
Basset Hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-623381516-e1691154788279.jpg,https://dogtime.com/dog-breeds/basset-hound,5,4,4,3,2,2,5,5,5,5,4,4,5,1,5,2,2,4,3,5,4,5,2,2,2,3.3333,5.0000,3.5000,3.8333,2.0000
Basset Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/11/basset-retriever-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/basset-retriever,3,3,2,2,4,4,4,4,3,4,2,2,4,4,4,3,4,5,3,5,2,4,4,2,4,3.0000,3.7500,3.1667,3.8333,3.3333
Bavarian Mountain Scent Hound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-615331764-e1691095708411.jpg?w=1024,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,2,3,2,2,2,3,5,4,3,2,1,2,3,4,2,3,3,4,2,4,2,2,4,2,4,2.3333,3.5000,2.5000,2.8333,3.3333
Beabull,https://dogtime.com/wp-content/uploads/sites/12/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/beabull,4,3,4,4,2,2,5,5,4,3,4,3,5,3,4,3,3,3,4,4,4,4,3,4,5,3.1667,4.2500,3.6667,3.6667,4.0000
Beagle,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-157603001-e1701106766955.jpg?w=1024,https://dogtime.com/dog-breeds/beagle,4,3,4,1,2,4,5,5,5,5,3,1,4,1,5,2,1,4,3,5,5,5,4,5,5,3.0000,5.0000,2.6667,3.8333,4.6667
Beaglier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-09-at-10.56.38-AM.png,https://dogtime.com/dog-breeds/beaglier,5,4,4,1,2,3,5,5,5,5,3,1,4,2,5,2,2,4,3,3,4,4,3,3,5,3.1667,5.0000,2.8333,3.3333,3.6667
Bearded Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-106395374-e1694029838848.jpg?w=1024,https://dogtime.com/dog-breeds/bearded-collie,3,4,4,2,4,3,5,4,5,4,4,1,2,3,4,3,5,4,3,3,3,5,4,4,5,3.3333,4.5000,2.8333,3.8333,4.3333
Bedlington Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-952818676-1-e1695321471712.jpg?w=1024,https://dogtime.com/dog-breeds/bedlington-terrier,4,4,3,3,4,3,5,4,4,5,5,1,1,4,3,3,3,5,4,5,3,4,4,2,5,3.5000,4.5000,2.8333,4.0000,3.6667
Belgian Malinois,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-482598287-e1689368698804.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-malinois,1,3,5,3,4,4,5,4,2,3,2,1,5,4,2,4,5,5,3,4,2,3,5,4,5,3.3333,3.5000,3.0000,3.6667,4.6667
Belgian Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1198791373-e1695840179194.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-sheepdog,3,3,5,3,4,3,4,5,5,4,5,1,3,3,2,4,5,5,2,5,1,4,5,3,5,3.5000,4.5000,3.0000,3.6667,4.3333
Belgian Tervuren,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-872002846-e1694032121253.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-tervuren,3,3,5,1,4,3,4,3,3,3,4,1,3,3,2,4,5,5,2,2,5,4,5,3,5,3.1667,3.2500,2.8333,3.8333,4.3333
Berger Picard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-180391527-e1695061860356.jpg?w=1024,https://dogtime.com/dog-breeds/berger-picard,3,4,5,3,4,3,5,5,3,2,4,1,5,5,3,4,4,4,2,3,2,2,5,3,5,3.6667,3.7500,3.6667,2.8333,4.3333
Bernedoodle,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-962709956-e1693706990967.jpg?w=1024,https://dogtime.com/dog-breeds/bernedoodle,3,3,4,2,5,3,5,5,4,3,1,2,3,4,3,3,4,5,4,3,3,3,4,3,5,3.3333,4.2500,2.6667,3.6667,4.0000
Bernese Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-537870596-e1701102761329.jpg?w=1024,https://dogtime.com/dog-breeds/bernese-mountain-dog,1,2,4,1,5,1,5,5,3,5,5,4,3,1,4,5,4,4,5,5,4,3,4,3,4,2.3333,4.5000,3.6667,4.1667,3.6667
Bichon Frise,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-514367196-e1692032817448.jpg,https://dogtime.com/dog-breeds/bichon-frise,5,5,5,1,3,4,5,4,4,5,2,1,1,4,4,2,5,4,3,4,2,2,5,3,5,3.8333,4.5000,2.3333,3.3333,4.3333
Biewer Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1569169973-e1694190546405.jpg?w=1024,https://dogtime.com/dog-breeds/biewer-terrier,5,3,3,3,2,3,5,4,3,3,1,1,4,4,3,1,3,4,3,1,3,1,5,3,4,3.1667,3.7500,2.3333,2.5000,4.0000
Black and Tan Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-531223775-e1692805403967.jpg?w=1024,https://dogtime.com/dog-breeds/black-and-tan-coonhound,1,2,3,2,4,4,5,5,5,5,5,3,4,5,5,3,2,5,1,5,5,5,5,5,5,2.6667,5.0000,4.1667,3.8333,5.0000
Black Mouth Cur,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1440971786-1-e1695316015872.jpg,https://dogtime.com/dog-breeds/black-mouth-cur,1,2,4,2,3,3,5,5,3,3,3,2,5,4,2,4,3,4,3,5,4,4,4,3,4,2.5000,4.0000,3.3333,3.8333,3.6667
Black Russian Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1187418372-1-1-e1697988547920.jpg?w=1024,https://dogtime.com/dog-breeds/black-russian-terrier,3,2,4,1,4,3,5,5,2,3,2,3,2,3,3,5,4,4,4,3,3,3,4,5,5,2.8333,3.7500,3.0000,3.5000,4.6667
Bloodhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-823894968-e1690932136652.jpg?w=1024,https://dogtime.com/dog-breeds/bloodhound,1,2,4,2,3,3,5,5,5,5,4,5,1,3,3,4,3,4,5,3,4,5,5,4,3,2.5000,5.0000,3.3333,4.0000,4.0000
Blue Lacy,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-173549958-e1694386494868.jpg?w=1024,https://dogtime.com/dog-breeds/blue-lacy,1,1,4,2,4,5,4,3,2,2,3,2,5,4,2,3,5,5,4,5,5,4,5,5,4,2.8333,2.7500,3.1667,4.6667,4.6667
Bluetick Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-483373049-e1694177883533.jpg?w=1024,https://dogtime.com/dog-breeds/bluetick-coonhound,2,2,5,2,3,3,5,5,3,3,2,2,5,4,3,3,2,4,3,4,4,5,5,4,5,2.8333,4.0000,3.1667,3.6667,4.6667
Bocker,https://d3ekkvinch1ig5.cloudfront.net/breed-thumb/thumb-1694593419-4729.webp,https://dogtime.com/dog-breeds/bocker,5,3,5,1,3,4,5,4,4,4,3,1,3,3,4,2,4,4,4,5,5,5,4,3,4,3.5000,4.2500,2.6667,4.5000,3.6667
Boerboel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-843641198-e1694186885578.jpg?w=1024,https://dogtime.com/dog-breeds/boerboel,1,1,3,2,3,4,4,4,2,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,4,2.3333,3.0000,3.8333,3.1667,3.6667
Boglen Terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-3.41.37-PM.png,https://dogtime.com/dog-breeds/boglen-terrier,4,4,4,2,2,3,5,5,5,5,2,1,4,3,3,2,2,2,4,4,4,5,4,5,5,3.1667,5.0000,2.5000,3.5000,4.6667
Bolognese,"https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-142865646-1.jpg?resize=1536,1229",https://dogtime.com/dog-breeds/bolognese,5,3,5,2,2,3,5,5,5,5,1,1,1,5,3,1,5,4,4,5,4,1,3,3,3,3.3333,5.0000,2.0000,3.8333,3.0000
Borador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/borador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/borador,3,3,2,2,3,3,5,4,4,4,4,3,3,3,4,4,4,5,3,3,2,3,4,3,5,2.6667,4.2500,3.5000,3.3333,4.0000
Border Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-164855910-1-e1694532950609.jpg?w=1024,https://dogtime.com/dog-breeds/border-collie,2,2,5,1,4,4,5,4,3,5,3,1,3,2,3,3,5,5,3,3,2,3,5,3,5,3.0000,4.2500,2.5000,3.5000,4.3333
Border Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/border-sheepdog,2,3,2,2,4,2,5,4,3,3,3,1,3,4,2,3,4,5,4,3,4,2,5,3,4,2.5000,3.7500,2.6667,3.6667,4.0000
Border Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1176073607-e1691420229477.jpg,https://dogtime.com/dog-breeds/border-terrier,4,3,3,1,4,3,5,4,2,5,3,1,2,4,5,2,3,5,5,5,1,4,4,4,5,3.0000,4.0000,2.8333,3.8333,4.3333
Bordoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bordoodle,4,4,3,3,4,4,4,5,3,2,2,2,4,4,3,3,4,5,3,2,2,3,3,2,4,3.6667,3.5000,3.0000,3.1667,3.0000
Borzoi,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-494422742-e1690935653749.jpg?w=1024,https://dogtime.com/dog-breeds/borzoi,5,3,5,1,4,3,4,3,4,4,5,1,4,4,2,5,3,4,3,5,2,4,2,2,3,3.5000,3.7500,3.5000,3.5000,2.3333
BoShih,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boshih,5,4,3,1,2,2,4,2,3,4,2,1,5,3,3,2,2,3,1,1,2,2,3,2,5,2.8333,3.2500,2.6667,1.8333,3.3333
Bossie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/bossie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bossie,2,2,3,5,3,3,4,4,4,4,2,1,3,3,3,3,4,4,3,3,3,5,4,4,5,3.0000,4.0000,2.5000,3.6667,4.3333
Boston Boxer,https://dogtime.com/wp-content/uploads/sites/12/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boston-boxer,4,3,3,2,3,3,4,4,4,2,3,3,4,4,4,3,3,4,3,3,3,2,4,3,5,3.0000,3.5000,3.5000,3.0000,4.0000
Boston Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142527104-e1693833380980.jpg?w=1024,https://dogtime.com/dog-breeds/boston-terrier,5,4,5,3,3,2,4,5,5,4,2,1,5,4,3,2,4,4,2,2,3,5,4,5,5,3.6667,4.5000,2.8333,3.3333,4.6667
Bouvier des Flandres,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1246925205-e1694459937398.jpg?w=1024,https://dogtime.com/dog-breeds/bouvier-des-flandres,3,2,4,2,4,2,5,5,2,2,1,1,2,3,4,4,5,4,2,2,4,2,4,5,4,2.8333,3.5000,2.5000,3.1667,4.3333
Boxador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxador,2,2,3,1,2,2,5,4,4,4,4,2,5,2,4,4,5,5,3,2,3,3,5,5,5,2.0000,4.2500,3.5000,3.5000,5.0000
Boxer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-463043655-1-e1692889076481.jpg?w=1024,https://dogtime.com/dog-breeds/boxer,4,3,4,1,2,1,5,4,3,4,4,2,5,2,4,3,4,4,2,3,3,3,5,5,5,2.5000,4.0000,3.3333,3.1667,5.0000
Boxerdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxerdoodle,1,3,3,2,3,3,4,3,4,3,2,2,3,3,4,3,4,4,2,3,2,4,4,4,5,2.5000,3.5000,2.8333,3.1667,4.3333
Boxmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxmatian,1,2,3,2,2,4,4,3,2,1,3,2,3,5,4,5,3,4,4,3,3,4,5,4,4,2.3333,2.5000,3.6667,3.5000,4.3333
Boxweiler,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxweiler,2,3,4,2,3,2,5,4,4,2,3,2,3,3,4,4,4,4,2,2,3,1,4,3,4,2.6667,3.7500,3.1667,2.6667,3.6667
Boykin Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-514726067-e1689183365138.jpg?w=1024,https://dogtime.com/dog-breeds/boykin-spaniel,1,3,4,3,3,4,5,5,4,3,4,1,1,2,4,3,4,4,4,2,3,4,5,5,4,3.0000,4.2500,2.5000,3.5000,4.6667
Bracco Italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226161054-e1694267703286.jpg?w=1024,https://dogtime.com/dog-breeds/bracco-italiano,1,2,4,3,3,3,5,4,5,3,3,2,5,2,3,4,3,4,2,5,2,3,4,4,4,2.6667,4.2500,3.1667,3.1667,4.0000
Braque du Bourbonnais,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-11.00.02-AM.png,https://dogtime.com/dog-breeds/braque-du-bourbonnais,1,3,3,2,2,3,5,4,4,4,2,1,4,4,1,3,4,4,3,4,3,2,5,2,3,2.3333,4.2500,2.5000,3.3333,3.3333
Briard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-136209560-e1694502979550.jpg?w=1024,https://dogtime.com/dog-breeds/briard,3,3,4,3,4,3,4,5,5,2,1,1,1,3,3,4,4,4,2,3,4,5,4,4,4,3.3333,4.0000,2.1667,3.6667,4.0000
Brittany,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-478873873-1-e1693194046688.jpg?w=1024,https://dogtime.com/dog-breeds/brittany,1,3,5,1,4,3,5,5,5,4,3,5,3,4,3,3,3,5,3,5,3,4,5,3,5,2.8333,4.7500,3.5000,3.8333,4.3333
